Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,season
1,Torino,38,28,7,3,104,35,+69,63,,1946/47
2,Juventus,38,22,9,7,83,38,+45,53,,1946/47
3,Modena,38,21,9,8,45,24,+21,51,,1946/47
4,Milan,38,19,12,7,75,52,+23,50,,1946/47
5,Bologna,38,15,9,14,42,41,+1,39,,1946/47
5,Vicenza,38,16,7,15,53,57,−4,39,,1946/47
7,Bari,38,16,6,16,33,48,−15,38,,1946/47
8,Napoli,38,14,9,15,50,59,−9,37,,1946/47
9,Atalanta,38,11,15,12,40,52,−12,37,,1946/47
10,Inter Milan,38,13,10,15,59,54,+5,36,,1946/47
10,Sampdoria,38,14,8,16,56,52,+4,36,,1946/47
10,Genoa,38,13,10,15,53,53,0,36,,1946/47
10,Lazio,38,12,12,14,56,56,0,36,,1946/47
14,Alessandria,38,13,9,16,59,60,−1,35,,1946/47
15,Livorno,38,9,15,14,49,55,−6,33,,1946/47
15,Roma,38,12,9,17,41,56,−15,33,,1946/47
17,Fiorentina,38,10,12,16,46,69,−23,32,,1946/47
18,Brescia,38,10,11,17,45,58,−13,31,Relegation to Serie B,1946/47
19,Venezia,38,10,7,21,43,66,−23,27,Relegation to Serie B,1946/47
20,Triestina,38,5,8,25,32,79,−47,18,Readmitted[a],1946/47
1,Torino,40,29,7,4,125,33,+92,65,,1947/48
2,Milan,40,21,7,12,76,48,+28,49,,1947/48
3,Juventus,40,19,11,10,74,48,+26,49,,1947/48
4,Triestina,40,17,15,8,51,42,+9,49,,1947/48
5,Atalanta,40,16,12,12,48,41,+7,44,,1947/48
5,Modena,40,16,12,12,45,40,+5,44,,1947/48
7,Fiorentina,40,18,5,17,49,55,−6,41,,1947/48
8,Pro Patria,40,17,6,17,65,66,−1,40,,1947/48
8,Bologna,40,14,12,14,51,52,−1,40,,1947/48
10,Lazio,40,13,13,14,54,55,−1,39,,1947/48
11,Bari,40,14,10,16,38,60,−22,38,,1947/48
12,Inter Milan,40,16,5,19,67,60,+7,37,,1947/48
12,Genoa,40,15,7,18,68,65,+3,37,,1947/48
14,Sampdoria,40,13,10,17,68,63,+5,36,,1947/48
14,Livorno,40,11,14,15,45,62,−17,36,,1947/48
14,Lucchese,40,12,12,16,46,82,−36,36,,1947/48
17,Roma,40,13,9,18,54,69,−15,35,,1947/48
18,Napoli,40,12,10,18,50,46,+4,34,Relegation to Serie B,1947/48
19,Salernitana,40,13,8,19,46,63,−17,34,Relegation to Serie B,1947/48
20,Alessandria,40,11,9,20,49,75,−26,31,Relegation to Serie B,1947/48
21,Vicenza,40,10,6,24,31,75,−44,26,Relegation to Serie B,1947/48
1,Torino,38,25,10,3,78,34,+44,60,1949 Latin Cup,1948/49
2,Inter Milan,38,22,11,5,85,39,+46,55,,1948/49
3,Milan,38,21,8,9,83,52,+31,50,,1948/49
4,Juventus,38,18,8,12,64,47,+17,44,,1948/49
5,Sampdoria,38,16,9,13,74,63,+11,41,,1948/49
5,Bologna,38,11,18,9,53,46,+7,40,,1948/49
7,Genoa,38,14,12,12,51,51,0,40,,1948/49
8,Lucchese,38,14,10,14,55,55,0,38,,1948/49
8,Triestina,38,13,12,13,59,59,0,38,,1948/49
8,Fiorentina,38,15,8,15,51,60,−9,38,,1948/49
11,Palermo,38,14,8,16,57,58,−1,36,,1948/49
11,Padova,38,12,12,14,45,64,−19,36,,1948/49
13,Lazio,38,11,12,15,60,62,−2,34,,1948/49
14,Roma,38,12,8,18,47,57,−10,32,,1948/49
15,Novara,38,12,7,19,52,74,−22,31,,1948/49
15,Atalanta,38,11,9,18,40,58,−18,31,,1948/49
17,Pro Patria,38,11,8,19,51,61,−10,30,,1948/49
17,Bari,38,10,10,18,30,50,−20,30,,1948/49
19,Modena,38,9,11,18,36,49,−13,29,Relegation to Serie B,1948/49
20,Livorno,38,9,8,21,39,71,−32,26,Relegation to Serie B,1948/49
1,Juventus,38,28,6,4,100,43,+57,62,[1],1949/50
2,Milan,38,27,3,8,118,45,+73,57,,1949/50
3,Inter Milan,38,21,7,10,99,60,+39,49,,1949/50
4,Lazio,38,18,10,10,67,43,+24,46,Qualified for the 1950 Latin Cup,1949/50
5,Fiorentina,38,18,8,12,76,57,+19,44,,1949/50
6,Torino,38,17,7,14,80,76,+4,41,,1949/50
6,Como,38,15,11,12,59,59,0,41,,1949/50
8,Atalanta,38,17,6,15,66,60,+6,40,,1949/50
8,Triestina,38,14,12,12,50,59,−9,40,,1949/50
10,Padova,38,13,9,16,61,65,−4,35,,1949/50
11,Pro Patria,38,11,12,15,50,61,−11,34,,1949/50
11,Genoa,38,13,8,17,45,64,−19,34,,1949/50
13,Sampdoria,38,13,7,18,62,70,−8,33,,1949/50
13,Palermo,38,13,7,18,47,64,−17,33,,1949/50
15,Bologna,38,8,16,14,54,63,−9,32,,1949/50
15,Lucchese,38,11,10,17,65,79,−14,32,,1949/50
17,Novara,38,11,9,18,51,64,−13,31,,1949/50
17,Roma,38,12,7,19,52,70,−18,31,,1949/50
19,Bari,38,11,7,20,38,74,−36,29,Relegation to Serie B,1949/50
20,Venezia,38,5,6,27,25,89,−64,16,Relegation to Serie B,1949/50
1,Milan,38,26,8,4,107,39,+68,60,1951 Latin Cup,1950/51
2,Inter Milan,38,27,5,6,107,43,+64,59,,1950/51
3,Juventus,38,23,8,7,103,44,+59,54,,1950/51
4,Lazio,38,18,10,10,64,50,+14,46,,1950/51
5,Fiorentina,38,18,8,12,52,42,+10,44,,1950/51
6,Napoli,38,15,11,12,57,52,+5,41,,1950/51
6,Bologna,38,16,9,13,61,59,+2,41,,1950/51
8,Como,38,18,4,16,56,66,−10,40,,1950/51
9,Udinese,38,11,13,14,46,61,−15,35,,1950/51
10,Palermo,38,14,6,18,59,67,−8,34,,1950/51
10,Pro Patria,38,14,6,18,47,74,−27,34,,1950/51
12,Novara,38,13,7,18,56,67,−11,33,,1950/51
12,Sampdoria,38,12,9,17,51,76,−25,33,,1950/51
14,Atalanta,38,10,12,16,48,69,−21,32,,1950/51
15,Lucchese,38,11,8,19,44,53,−9,30,,1950/51
15,Triestina,38,10,10,18,45,67,−22,30,,1950/51
15,Torino,38,9,12,17,46,69,−23,30,,1950/51
18,Padova,38,12,5,21,49,68,−19,29,,1950/51
19,Roma,38,10,8,20,48,54,−6,28,Relegation to Serie B,1950/51
20,Genoa,38,9,9,20,46,72,−26,27,Relegation to Serie B,1950/51
1,Juventus,38,26,8,4,98,34,+64,60,1952 Latin Cup,1951/52
2,Milan,38,20,13,5,87,41,+46,53,,1951/52
3,Inter Milan,38,21,7,10,86,49,+37,49,,1951/52
4,Fiorentina,38,17,9,12,52,38,+14,43,,1951/52
4,Lazio,38,15,13,10,60,49,+11,43,,1951/52
6,Napoli,38,17,8,13,64,44,+20,42,,1951/52
7,Sampdoria,38,16,9,13,48,40,+8,41,,1951/52
8,Novara,38,16,8,14,62,62,0,40,,1951/52
9,SPAL,38,12,13,13,52,50,+2,37,,1951/52
9,Pro Patria,38,12,13,13,47,62,−15,37,,1951/52
11,Palermo,38,11,14,13,43,51,−8,36,,1951/52
12,Atalanta,38,13,8,17,54,61,−7,34,,1951/52
12,Como,38,15,4,19,53,70,−17,34,,1951/52
12,Udinese,38,11,12,15,43,62,−19,34,,1951/52
12,Torino,38,12,10,16,39,58,−19,34,,1951/52
16,Bologna,38,11,11,16,45,55,−10,33,,1951/52
17,Triestina,38,11,10,17,47,68,−21,32,Qualification play-offs,1951/52
