Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,season,City,GAv
1,Torino,38,28,7,3,104,35,69,63,,1946/47,Torino,2.971
2,Juventus,38,22,9,7,83,38,45,53,,1946/47,Torino,2.184
3,Modena,38,21,9,8,45,24,21,51,,1946/47,Modena,1.875
4,Milan,38,19,12,7,75,52,23,50,,1946/47,Milano,1.442
5,Bologna,38,15,9,14,42,41,1,39,,1946/47,Bologna,1.024
5,Vicenza,38,16,7,15,53,57,-4,39,,1946/47,Vicenza,0.93
7,Bari,38,16,6,16,33,48,-15,38,,1946/47,Bari,0.688
8,Napoli,38,14,9,15,50,59,-9,37,,1946/47,Napoli,0.847
9,Atalanta,38,11,15,12,40,52,-12,37,,1946/47,Bergamo,0.769
10,Inter Milan,38,13,10,15,59,54,5,36,,1946/47,Milano,1.093
10,Sampdoria,38,14,8,16,56,52,4,36,,1946/47,Genova,1.077
10,Genoa,38,13,10,15,53,53,0,36,,1946/47,Genova,1.0
10,Lazio,38,12,12,14,56,56,0,36,,1946/47,Roma,1.0
14,Alessandria,38,13,9,16,59,60,-1,35,,1946/47,Alessandria,0.983
15,Livorno,38,9,15,14,49,55,-6,33,,1946/47,Livorno,0.891
15,Roma,38,12,9,17,41,56,-15,33,,1946/47,Roma,0.732
17,Fiorentina,38,10,12,16,46,69,-23,32,,1946/47,Firenze,0.667
18,Brescia,38,10,11,17,45,58,-13,31,Relegation to Serie B,1946/47,Brescia,0.776
19,Venezia,38,10,7,21,43,66,-23,27,Relegation to Serie B,1946/47,Venezia,0.652
20,Triestina,38,5,8,25,32,79,-47,18,Readmitted[a],1946/47,Trieste,0.405
1,Torino,40,29,7,4,125,33,92,65,,1947/48,Torino,3.788
2,Milan,40,21,7,12,76,48,28,49,,1947/48,Milano,1.583
3,Juventus,40,19,11,10,74,48,26,49,,1947/48,Torino,1.542
4,Triestina,40,17,15,8,51,42,9,49,,1947/48,Trieste,1.214
5,Atalanta,40,16,12,12,48,41,7,44,,1947/48,Bergamo,1.171
5,Modena,40,16,12,12,45,40,5,44,,1947/48,Modena,1.125
7,Fiorentina,40,18,5,17,49,55,-6,41,,1947/48,Firenze,0.891
8,Pro Patria,40,17,6,17,65,66,-1,40,,1947/48,Busto Arsizio,0.985
8,Bologna,40,14,12,14,51,52,-1,40,,1947/48,Bologna,0.981
10,Lazio,40,13,13,14,54,55,-1,39,,1947/48,Roma,0.982
11,Bari,40,14,10,16,38,60,-22,38,,1947/48,Bari,0.633
12,Inter Milan,40,16,5,19,67,60,7,37,,1947/48,Milano,1.117
12,Genoa,40,15,7,18,68,65,3,37,,1947/48,Genova,1.046
14,Sampdoria,40,13,10,17,68,63,5,36,,1947/48,Genova,1.079
14,Livorno,40,11,14,15,45,62,-17,36,,1947/48,Livorno,0.726
14,Lucchese,40,12,12,16,46,82,-36,36,,1947/48,Lucca,0.561
17,Roma,40,13,9,18,54,69,-15,35,,1947/48,Roma,0.783
18,Napoli,40,12,10,18,50,46,4,34,Relegation to Serie B,1947/48,Napoli,1.087
19,Salernitana,40,13,8,19,46,63,-17,34,Relegation to Serie B,1947/48,Salerno,0.73
20,Alessandria,40,11,9,20,49,75,-26,31,Relegation to Serie B,1947/48,Alessandria,0.653
21,Vicenza,40,10,6,24,31,75,-44,26,Relegation to Serie B,1947/48,Vicenza,0.413
1,Torino,38,25,10,3,78,34,44,60,1949 Latin Cup,1948/49,Torino,2.294
2,Inter Milan,38,22,11,5,85,39,46,55,,1948/49,Milano,2.179
3,Milan,38,21,8,9,83,52,31,50,,1948/49,Milano,1.596
4,Juventus,38,18,8,12,64,47,17,44,,1948/49,Torino,1.362
5,Sampdoria,38,16,9,13,74,63,11,41,,1948/49,Genova,1.175
5,Bologna,38,11,18,9,53,46,7,40,,1948/49,Bologna,1.152
7,Genoa,38,14,12,12,51,51,0,40,,1948/49,Genova,1.0
8,Lucchese,38,14,10,14,55,55,0,38,,1948/49,Lucca,1.0
8,Triestina,38,13,12,13,59,59,0,38,,1948/49,Trieste,1.0
8,Fiorentina,38,15,8,15,51,60,-9,38,,1948/49,Firenze,0.85
11,Palermo,38,14,8,16,57,58,-1,36,,1948/49,Palermo,0.983
11,Padova,38,12,12,14,45,64,-19,36,,1948/49,Padova,0.703
13,Lazio,38,11,12,15,60,62,-2,34,,1948/49,Roma,0.968
14,Roma,38,12,8,18,47,57,-10,32,,1948/49,Roma,0.825
15,Novara,38,12,7,19,52,74,-22,31,,1948/49,Novara,0.703
15,Atalanta,38,11,9,18,40,58,-18,31,,1948/49,Bergamo,0.69
17,Pro Patria,38,11,8,19,51,61,-10,30,,1948/49,Busto Arsizio,0.836
17,Bari,38,10,10,18,30,50,-20,30,,1948/49,Bari,0.6
19,Modena,38,9,11,18,36,49,-13,29,Relegation to Serie B,1948/49,Modena,0.735
20,Livorno,38,9,8,21,39,71,-32,26,Relegation to Serie B,1948/49,Livorno,0.549
1,Juventus,38,28,6,4,100,43,57,62,[1],1949/50,Torino,2.326
2,Milan,38,27,3,8,118,45,73,57,,1949/50,Milano,2.622
3,Inter Milan,38,21,7,10,99,60,39,49,,1949/50,Milano,1.65
4,Lazio,38,18,10,10,67,43,24,46,Qualified for the 1950 Latin Cup,1949/50,Roma,1.558
5,Fiorentina,38,18,8,12,76,57,19,44,,1949/50,Firenze,1.333
6,Torino,38,17,7,14,80,76,4,41,,1949/50,Torino,1.053
6,Como,38,15,11,12,59,59,0,41,,1949/50,Como,1.0
8,Atalanta,38,17,6,15,66,60,6,40,,1949/50,Bergamo,1.1
8,Triestina,38,14,12,12,50,59,-9,40,,1949/50,Trieste,0.847
10,Padova,38,13,9,16,61,65,-4,35,,1949/50,Padova,0.938
11,Pro Patria,38,11,12,15,50,61,-11,34,,1949/50,Busto Arsizio,0.82
11,Genoa,38,13,8,17,45,64,-19,34,,1949/50,Genova,0.703
13,Sampdoria,38,13,7,18,62,70,-8,33,,1949/50,Genova,0.886
13,Palermo,38,13,7,18,47,64,-17,33,,1949/50,Palermo,0.734
15,Bologna,38,8,16,14,54,63,-9,32,,1949/50,Bologna,0.857
15,Lucchese,38,11,10,17,65,79,-14,32,,1949/50,Lucca,0.823
17,Novara,38,11,9,18,51,64,-13,31,,1949/50,Novara,0.797
17,Roma,38,12,7,19,52,70,-18,31,,1949/50,Roma,0.743
19,Bari,38,11,7,20,38,74,-36,29,Relegation to Serie B,1949/50,Bari,0.514
20,Venezia,38,5,6,27,25,89,-64,16,Relegation to Serie B,1949/50,Venezia,0.281
1,Milan,38,26,8,4,107,39,68,60,1951 Latin Cup,1950/51,Milano,2.744
2,Inter Milan,38,27,5,6,107,43,64,59,,1950/51,Milano,2.488
3,Juventus,38,23,8,7,103,44,59,54,,1950/51,Torino,2.341
4,Lazio,38,18,10,10,64,50,14,46,,1950/51,Roma,1.28
5,Fiorentina,38,18,8,12,52,42,10,44,,1950/51,Firenze,1.238
6,Napoli,38,15,11,12,57,52,5,41,,1950/51,Napoli,1.096
6,Bologna,38,16,9,13,61,59,2,41,,1950/51,Bologna,1.034
8,Como,38,18,4,16,56,66,-10,40,,1950/51,Como,0.848
9,Udinese,38,11,13,14,46,61,-15,35,,1950/51,Udine,0.754
10,Palermo,38,14,6,18,59,67,-8,34,,1950/51,Palermo,0.881
10,Pro Patria,38,14,6,18,47,74,-27,34,,1950/51,Busto Arsizio,0.635
12,Novara,38,13,7,18,56,67,-11,33,,1950/51,Novara,0.836
12,Sampdoria,38,12,9,17,51,76,-25,33,,1950/51,Genova,0.671
14,Atalanta,38,10,12,16,48,69,-21,32,,1950/51,Bergamo,0.696
15,Lucchese,38,11,8,19,44,53,-9,30,,1950/51,Lucca,0.83
15,Triestina,38,10,10,18,45,67,-22,30,,1950/51,Trieste,0.672
15,Torino,38,9,12,17,46,69,-23,30,,1950/51,Torino,0.667
18,Padova,38,12,5,21,49,68,-19,29,,1950/51,Padova,0.721
19,Roma,38,10,8,20,48,54,-6,28,Relegation to Serie B,1950/51,Roma,0.889
20,Genoa,38,9,9,20,46,72,-26,27,Relegation to Serie B,1950/51,Genova,0.639
1,Juventus,38,26,8,4,98,34,64,60,1952 Latin Cup,1951/52,Torino,2.882
2,Milan,38,20,13,5,87,41,46,53,,1951/52,Milano,2.122
3,Inter Milan,38,21,7,10,86,49,37,49,,1951/52,Milano,1.755
4,Fiorentina,38,17,9,12,52,38,14,43,,1951/52,Firenze,1.368
4,Lazio,38,15,13,10,60,49,11,43,,1951/52,Roma,1.224
6,Napoli,38,17,8,13,64,44,20,42,,1951/52,Napoli,1.455
7,Sampdoria,38,16,9,13,48,40,8,41,,1951/52,Genova,1.2
8,Novara,38,16,8,14,62,62,0,40,,1951/52,Novara,1.0
9,SPAL,38,12,13,13,52,50,2,37,,1951/52,Ferrara,1.04
9,Pro Patria,38,12,13,13,47,62,-15,37,,1951/52,Busto Arsizio,0.758
11,Palermo,38,11,14,13,43,51,-8,36,,1951/52,Palermo,0.843
12,Atalanta,38,13,8,17,54,61,-7,34,,1951/52,Bergamo,0.885
12,Como,38,15,4,19,53,70,-17,34,,1951/52,Como,0.757
12,Udinese,38,11,12,15,43,62,-19,34,,1951/52,Udine,0.694
12,Torino,38,12,10,16,39,58,-19,34,,1951/52,Torino,0.672
16,Bologna,38,11,11,16,45,55,-10,33,,1951/52,Bologna,0.818
17,Triestina,38,11,10,17,47,68,-21,32,Qualification play-offs,1951/52,Trieste,0.691
18,Lucchese,38,11,10,17,39,49,-10,32,Serie B after tie-breaker,1951/52,Lucca,0.796
19,Padova,38,10,9,19,45,73,-28,29,Relegation to Serie B,1951/52,Padova,0.616
20,Legnano,38,4,9,25,37,85,-48,17,Relegation to Serie B,1951/52,Legnano,0.435
1,Inter Milan,34,19,9,6,46,24,22,47,,1952/53,Milano,1.917
2,Juventus,34,18,9,7,73,40,33,45,,1952/53,Torino,1.825
3,Milan,34,17,9,8,64,34,30,43,Qualified for the 1953 Latin Cup,1952/53,Milano,1.882
4,Napoli,34,15,11,8,53,43,10,41,,1952/53,Napoli,1.233
5,Bologna,34,16,7,11,52,43,9,39,,1952/53,Bologna,1.209
6,Roma,34,13,10,11,50,44,6,36,,1952/53,Roma,1.136
7,Fiorentina,34,11,11,12,31,47,-16,33,,1952/53,Firenze,0.66
8,SPAL,34,8,16,10,40,37,3,32,,1952/53,Ferrara,1.081
8,Atalanta,34,10,12,12,52,53,-1,32,,1952/53,Bergamo,0.981
10,Torino,34,11,9,14,47,50,-3,31,,1952/53,Torino,0.94
10,Lazio,34,12,7,15,38,44,-6,31,,1952/53,Roma,0.864
10,Sampdoria,34,9,13,12,37,43,-6,31,,1952/53,Genova,0.86
10,Novara,34,11,9,14,43,52,-9,31,,1952/53,Novara,0.827
10,Udinese,34,10,11,13,42,55,-13,31,,1952/53,Udine,0.764
15,Triestina,34,10,10,14,47,54,-7,30,,1952/53,Trieste,0.87
15,Palermo,34,10,10,14,43,56,-13,30,,1952/53,Palermo,0.768
17,Como,34,11,5,18,32,44,-12,27,Relegation to Serie B,1952/53,Como,0.727
18,Pro Patria,34,7,8,19,40,67,-27,22,Relegation to Serie B,1952/53,Busto Arsizio,0.597
1,Inter Milan,34,20,11,3,67,32,35,51,[1],1953/54,Milano,2.094
2,Juventus,34,20,10,4,58,34,24,50,,1953/54,Torino,1.706
3,Milan,34,17,10,7,66,39,27,44,,1953/54,Milano,1.692
3,Fiorentina,34,15,14,5,45,27,18,44,,1953/54,Firenze,1.667
5,Napoli,34,13,12,9,52,38,14,38,,1953/54,Napoli,1.368
6,Roma,34,12,12,10,53,42,11,36,,1953/54,Roma,1.262
7,Bologna,34,14,8,12,50,41,9,36,,1953/54,Bologna,1.22
8,Sampdoria,34,11,12,11,38,40,-2,34,,1953/54,Genova,0.95
9,Torino,34,9,15,10,37,46,-9,33,,1953/54,Torino,0.804
10,Atalanta,34,10,11,13,54,53,1,31,,1953/54,Bergamo,1.019
11,Lazio,34,10,9,15,40,42,-2,29,,1953/54,Roma,0.952
12,Genoa,34,10,8,16,36,50,-14,28,,1953/54,Genova,0.72
12,Triestina,34,9,10,15,42,64,-22,28,,1953/54,Trieste,0.656
14,Novara,34,8,11,15,34,50,-16,27,,1953/54,Novara,0.68
15,Udinese,34,8,10,16,39,57,-18,26,Relegation tie-breaker,1953/54,Udine,0.684
16,SPAL,34,8,10,16,33,53,-20,26,Relegation tie-breaker,1953/54,Ferrara,0.623
17,Palermo,34,9,8,17,37,59,-22,26,Serie B after tie-breaker,1953/54,Palermo,0.627
18,Legnano,34,6,13,15,44,58,-14,25,Relegation to Serie B,1953/54,Legnano,0.759
1,Milan,34,19,10,5,81,35,46,48,Qualification for the European Cup and for the Latin Cup,1954/55,Milano,2.314
2,Udinese,34,16,12,6,58,42,16,44,Relegation to Serie B[a],1954/55,Udine,1.381
3,Roma,34,13,15,6,53,39,14,41,,1954/55,Roma,1.359
4,Bologna,34,15,10,9,56,47,9,40,,1954/55,Bologna,1.191
5,Fiorentina,34,14,11,9,49,48,1,39,,1954/55,Firenze,1.021
6,Napoli,34,13,12,9,50,40,10,38,,1954/55,Napoli,1.25
7,Juventus,34,12,13,9,60,53,7,37,,1954/55,Torino,1.132
8,Inter Milan,34,13,10,11,55,49,6,36,,1954/55,Milano,1.122
9,Sampdoria,34,11,12,11,54,44,10,34,,1954/55,Genova,1.227
9,Torino,34,12,10,12,42,45,-3,34,,1954/55,Torino,0.933
11,Genoa,34,9,13,12,34,44,-10,31,,1954/55,Genova,0.773
12,Catania,34,10,10,14,38,47,-9,30,Relegation to Serie B[a],1954/55,Catania,0.809
12,Lazio,34,11,8,15,41,52,-11,30,,1954/55,Roma,0.788
12,Triestina,34,9,12,13,34,52,-18,30,,1954/55,Trieste,0.654
15,Atalanta,34,8,12,14,35,38,-3,28,,1954/55,Bergamo,0.921
15,Novara,34,10,8,16,39,53,-14,28,,1954/55,Novara,0.736
17,SPAL,34,5,13,16,24,49,-25,23,,1954/55,Ferrara,0.49
18,Pro Patria,34,6,9,19,29,55,-26,21,,1954/55,Busto Arsizio,0.527
1,Fiorentina,34,20,13,1,59,20,39,53,Qualification for the European Cup preliminary round,1955/56,Firenze,2.95
2,Milan,34,16,9,9,70,48,22,41,Qualified for the 1956 Latin Cup,1955/56,Milano,1.458
3,Inter Milan,34,16,7,11,57,36,21,39,,1955/56,Milano,1.583
3,Lazio,34,14,11,9,54,46,8,39,,1955/56,Roma,1.174
5,Bologna,34,15,7,12,68,52,16,37,,1955/56,Bologna,1.308
6,Roma,34,11,13,10,43,40,3,35,,1955/56,Roma,1.075
6,Sampdoria,34,12,11,11,51,54,-3,35,,1955/56,Genova,0.944
8,Padova,34,14,6,14,41,43,-2,34,,1955/56,Padova,0.953
9,SPAL,34,10,13,11,40,39,1,33,,1955/56,Ferrara,1.026
9,Genoa,34,12,9,13,50,52,-2,33,,1955/56,Genova,0.962
9,Torino,34,12,9,13,43,45,-2,33,,1955/56,Torino,0.956
9,Juventus,34,8,17,9,32,37,-5,33,,1955/56,Torino,0.865
9,Vicenza,34,10,13,11,31,40,-9,33,,1955/56,Vicenza,0.775
14,Napoli,34,10,12,12,46,49,-3,32,,1955/56,Napoli,0.939
15,Atalanta,34,11,9,14,50,55,-5,31,,1955/56,Bergamo,0.909
16,Triestina,34,10,10,14,27,44,-17,30,,1955/56,Trieste,0.614
17,Novara,34,8,10,16,45,51,-6,26,Relegation to Serie B,1955/56,Novara,0.882
18,Pro Patria,34,3,9,22,31,87,-56,15,Relegation to Serie B,1955/56,Busto Arsizio,0.356
1,Milan,34,21,6,7,65,40,25,48,Qualification to European Cup and for the Latin Cup,1956/57,Milano,1.625
2,Fiorentina,34,16,10,8,55,40,15,42,,1956/57,Firenze,1.375
3,Lazio,34,14,13,7,52,40,12,41,,1956/57,Roma,1.3
4,Udinese,34,15,6,13,59,58,1,36,,1956/57,Udine,1.017
5,Inter Milan,34,11,13,10,53,45,8,35,,1956/57,Milano,1.178
5,Bologna,34,12,11,11,54,48,6,35,,1956/57,Bologna,1.125
5,Torino,34,13,9,12,45,42,3,35,,1956/57,Torino,1.071
5,Sampdoria,34,12,11,11,59,56,3,35,,1956/57,Genova,1.054
9,Juventus,34,11,11,12,54,54,0,33,,1956/57,Torino,1.0
9,SPAL,34,14,5,15,38,47,-9,33,,1956/57,Ferrara,0.809
11,Vicenza,34,11,10,13,49,51,-2,32,,1956/57,Vicenza,0.961
11,Napoli,34,11,10,13,39,41,-2,32,,1956/57,Napoli,0.951
11,Padova,34,8,16,10,33,39,-6,32,,1956/57,Padova,0.846
14,Roma,34,10,11,13,53,49,4,31,,1956/57,Roma,1.082
14,Atalanta,34,9,13,12,36,44,-8,31,,1956/57,Bergamo,0.818
16,Genoa,34,9,12,13,36,46,-10,30,,1956/57,Genova,0.783
17,Triestina,34,9,11,14,33,42,-9,29,Relegation to Serie B,1956/57,Trieste,0.786
18,Palermo,34,7,8,19,32,63,-31,22,Relegation to Serie B,1956/57,Palermo,0.508
1,Juventus,34,23,5,6,77,44,33,51,Qualification to European Cup,1957/58,Torino,1.75
2,Fiorentina,34,16,11,7,56,36,20,43,,1957/58,Firenze,1.556
3,Padova,34,16,10,8,55,42,13,42,,1957/58,Padova,1.31
4,Napoli,34,17,6,11,65,55,10,40,,1957/58,Napoli,1.182
5,Roma,34,12,12,10,46,42,4,36,,1957/58,Roma,1.095
6,Bologna,34,12,10,12,47,43,4,34,,1957/58,Bologna,1.093
7,Vicenza,34,13,7,14,51,48,3,33,,1957/58,Vicenza,1.062
7,Torino,34,11,11,12,42,49,-7,33,,1957/58,Torino,0.857
9,Milan,34,9,14,11,61,47,14,32,,1957/58,Milano,1.298
9,Udinese,34,10,12,12,51,46,5,32,,1957/58,Udine,1.109
9,Inter Milan,34,10,12,12,36,36,0,32,,1957/58,Milano,1.0
12,Genoa,34,9,12,13,53,60,-7,30,,1957/58,Genova,0.883
12,Sampdoria,34,9,12,13,54,62,-8,30,,1957/58,Genova,0.871
12,Alessandria,34,9,12,13,36,42,-6,30,,1957/58,Alessandria,0.857
12,Lazio,34,10,10,14,45,65,-20,30,,1957/58,Roma,0.692
12,SPAL,34,10,10,14,32,52,-20,30,,1957/58,Ferrara,0.615
17,Atalanta,34,6,16,12,29,49,-20,28,Relegation to Serie B,1957/58,Bergamo,0.592
18,Hellas Verona,34,10,6,18,44,62,-18,26,Qualification play-offs,1957/58,Verona,0.71
1,Milan,34,20,12,2,84,32,52,52,Qualification to European Cup,1958/59,Milano,2.625
2,Fiorentina,34,20,9,5,95,35,60,49,,1958/59,Firenze,2.714
3,Inter Milan,34,20,6,8,77,41,36,46,,1958/59,Milano,1.878
4,Juventus,34,16,10,8,74,51,23,42,,1958/59,Torino,1.451
5,Sampdoria,34,15,8,11,50,44,6,38,,1958/59,Genova,1.136
6,Roma,34,12,11,11,57,41,16,35,,1958/59,Roma,1.39
7,Vicenza,34,13,8,13,41,41,0,34,,1958/59,Vicenza,1.0
7,Padova,34,13,8,13,50,52,-2,34,,1958/59,Padova,0.962
7,Napoli,34,9,16,9,39,50,-11,34,,1958/59,Napoli,0.78
10,Bologna,34,10,11,13,47,53,-6,31,,1958/59,Bologna,0.887
11,Bari,34,9,12,13,38,49,-11,30,,1958/59,Bari,0.776
11,Genoa,34,10,10,14,44,62,-18,30,,1958/59,Genova,0.71
11,Lazio,34,10,10,14,37,54,-17,30,,1958/59,Roma,0.685
14,Alessandria,34,8,12,14,33,57,-24,28,,1958/59,Alessandria,0.579
15,Udinese,34,8,11,15,32,59,-27,27,,1958/59,Udine,0.542
16,SPAL,34,8,10,16,29,48,-19,26,,1958/59,Ferrara,0.604
17,Triestina,34,6,11,17,34,56,-22,23,Relegation to Serie B,1958/59,Trieste,0.607
17,Torino,34,6,11,17,36,72,-36,23,Relegation to Serie B,1958/59,Torino,0.5
1,Juventus,34,25,5,4,92,33,59,55,Qualified for the European Cup,1959/60,Torino,2.788
2,Fiorentina,34,20,7,7,68,31,37,47,Qualified for the Cup Winners' Cup,1959/60,Firenze,2.194
3,Milan,34,17,10,7,56,37,19,44,,1959/60,Milano,1.514
4,Inter Milan,34,14,12,8,55,43,12,40,Invited for the Inter-Cities Fairs Cup,1959/60,Milano,1.279
5,Bologna,34,14,8,12,50,42,8,36,,1959/60,Bologna,1.19
5,Padova,34,14,8,12,50,46,4,36,,1959/60,Padova,1.087
5,SPAL,34,12,12,10,45,50,-5,36,,1959/60,Ferrara,0.9
8,Sampdoria,34,11,13,10,41,46,-5,35,,1959/60,Genova,0.891
9,Roma,34,13,8,13,53,53,0,34,Invited for the Inter-Cities Fairs Cup,1959/60,Roma,1.0
10,Vicenza,34,11,10,13,39,42,-3,32,,1959/60,Vicenza,0.929
11,Atalanta,34,9,13,12,31,39,-8,31,,1959/60,Bergamo,0.795
12,Lazio,34,9,12,13,32,45,-13,30,,1959/60,Roma,0.711
13,Bari,34,9,11,14,32,42,-10,29,,1959/60,Bari,0.762
13,Napoli,34,8,13,13,33,48,-15,29,,1959/60,Napoli,0.688
15,Udinese,34,6,16,12,39,54,-15,28,,1959/60,Udine,0.722
16,Palermo,34,6,15,13,27,40,-13,27,Relegated to Serie B,1959/60,Palermo,0.675
17,Alessandria,34,5,15,14,28,51,-23,25,Relegated to Serie B,1959/60,Alessandria,0.549
18,Genoa,34,4,10,20,21,50,-29,0,Relegated to Serie B,1959/60,Genova,0.42
1,Juventus,34,22,5,7,80,42,38,49,Qualified for the European Cup,1960/61,Torino,1.905
2,Milan,34,18,9,7,65,39,26,45,Invited for the Inter-Cities Fairs Cup,1960/61,Milano,1.667
3,Inter Milan,34,18,8,8,73,39,34,44,Invited for the Inter-Cities Fairs Cup,1960/61,Milano,1.872
4,Sampdoria,34,17,7,10,54,51,3,41,,1960/61,Genova,1.059
5,Roma,34,16,7,11,58,46,12,39,Invited for the Inter-Cities Fairs Cup,1960/61,Roma,1.261
6,Padova,34,16,6,12,47,40,7,38,,1960/61,Padova,1.175
7,Fiorentina,34,13,11,10,46,34,12,37,Qualified for the Cup Winners' Cup,1960/61,Firenze,1.353
8,Catania,34,15,6,13,45,44,1,36,,1960/61,Catania,1.023
9,Bologna,34,10,11,13,44,51,-7,31,,1960/61,Bologna,0.863
9,Atalanta,34,9,13,12,35,41,-6,31,,1960/61,Bergamo,0.854
9,Vicenza,34,10,11,13,35,46,-11,31,,1960/61,Vicenza,0.761
12,Torino,34,9,12,13,34,41,-7,30,,1960/61,Torino,0.829
12,SPAL,34,10,10,14,39,50,-11,30,,1960/61,Ferrara,0.78
