survey_period,population,gender,age_group,metric,respondents,population_estimate,rate_percent,source_file,notes
May 2020 - May 2021,adult,male,16+,participation_once_28days,76528,866000,3.9,Active Lives Adult May 20-21 Tables 5-7 Types of activity.xlsx,COVID restrictions may have suppressed participation
May 2020 - May 2021,adult,female,16+,participation_once_28days,95529,156200,0.67,Active Lives Adult May 20-21 Tables 5-7 Types of activity.xlsx,COVID restrictions may have suppressed participation
November 2020 - November 2021,adult,male,16+,participation_once_28days,78484,1265600,5.71,Active Lives Adult Nov 20-21 Tables 6-8 Types of activity.xlsx,
November 2020 - November 2021,adult,female,16+,participation_once_28days,97882,176400,0.76,Active Lives Adult Nov 20-21 Tables 6-8 Types of activity.xlsx,
November 2021 - November 2022,adult,male,16+,participation_once_28days,78112,1759900,7.89,Active Lives Adult Nov 21-22 Tables 6-8 Types of activity.xlsx,
November 2021 - November 2022,adult,female,16+,participation_once_28days,98341,244900,1.05,Active Lives Adult Nov 21-22 Tables 6-8 Types of activity.xlsx,
November 2022 - November 2023,adult,male,16+,participation_once_28days,76229,1886300,8.36,Active Lives Adult Nov 22-23 Tables 6a-8 Types of activity.xlsx,
November 2022 - November 2023,adult,female,16+,participation_once_28days,95502,231600,0.98,Active Lives Adult Nov 22-23 Tables 6a-8 Types of activity.xlsx,
November 2019 - November 2020,adult,male,16+,participation_once_28days,78967,1213200,5.5,Active Lives Adult November 19-20 Tables 5-8 Twice in the last 28 days.xlsx,
November 2019 - November 2020,adult,female,16+,participation_once_28days,97869,168400,0.73,Active Lives Adult November 19-20 Tables 5-8 Twice in the last 28 days.xlsx,
November 2024 - November 2025,adult,male,16+,participation_once_28days,78438,1921300,8.3,Active Lives Adult Survey report Nov 24-25 Tables 6-8 Types of activity.xlsx,
November 2024 - November 2025,adult,female,16+,participation_once_28days,96561,296300,1.22,Active Lives Adult Survey report Nov 24-25 Tables 6-8 Types of activity.xlsx,
November 2018 - November 2019,adult,male,16+,participation_once_28days,80135,1795400,8.16,Active Lives April 2020 Tables 4-7 Twice in the last 28 days.xlsx,
November 2018 - November 2019,adult,female,16+,participation_once_28days,100647,210300,0.91,Active Lives April 2020 Tables 4-7 Twice in the last 28 days.xlsx,
May 18-19,adult,male,16+,participation_once_28days,78594,1842500,8.37,Active Lives October 2019 Tables 4-7 Twice in the last 28 days.xlsx,
May 18-19,adult,female,16+,participation_once_28days,98733,212800,0.92,Active Lives October 2019 Tables 4-7 Twice in the last 28 days.xlsx,
November 2017-18,adult,male,16+,participation_twice_28days,79451,1836100,8.36,active-lives-april-2019-tables-4-7-twice-in-the-last-28-days.xlsx,threshold = twice in last 28 days (not comparable with once-28-days series)
November 2017-18,adult,female,16+,participation_twice_28days,99916,200500,0.87,active-lives-april-2019-tables-4-7-twice-in-the-last-28-days.xlsx,threshold = twice in last 28 days (not comparable with once-28-days series)
May 2019 - May 2020,adult,male,16+,participation_once_28days,84298,1656200,7.48,Main report Tables 4-7 Twice in the last 28 days.xlsx,COVID restrictions may have suppressed participation
May 2019 - May 2020,adult,female,16+,participation_once_28days,105308,204300,0.88,Main report Tables 4-7 Twice in the last 28 days.xlsx,COVID restrictions may have suppressed participation
November 2023 - November 2024,adult,male,16+,participation_once_28days,76237,1903100,8.35,REPORT Nov 23-24_Table 6-8_Types of activity.xlsx,
November 2023 - November 2024,adult,female,16+,participation_once_28days,94431,309500,1.3,REPORT Nov 23-24_Table 6-8_Types of activity.xlsx,
Academic Year 2017-18,children,female,years 1-11,participation_last_week,52270,669000,19.51,ALS CYP 19-20 Main report Tables 3-11 Types of activity.xlsx | ALS CYP 20-21 Tables 5-13 Types of activity.xlsx | ALS CYP 21-22 Tables 5-14 Types of activity.xlsx | Active Lives CYP 22-23 Tables 5-14 Types of activity.xlsx | Active Lives CYP 23-24 Tables 7-16 Types of activity.xlsx,
Academic Year 2017-18,children,male,years 1-11,participation_last_week,48813,1935100,54.49,ALS CYP 19-20 Main report Tables 3-11 Types of activity.xlsx | ALS CYP 20-21 Tables 5-13 Types of activity.xlsx | ALS CYP 21-22 Tables 5-14 Types of activity.xlsx | Active Lives CYP 22-23 Tables 5-14 Types of activity.xlsx | Active Lives CYP 23-24 Tables 7-16 Types of activity.xlsx,
Academic Year 2018-19,children,female,years 1-11,participation_last_week,54887,732900,21.12,ALS CYP 19-20 Main report Tables 3-11 Types of activity.xlsx,
Academic Year 2018-19,children,male,years 1-11,participation_last_week,49706,2082500,58.23,ALS CYP 19-20 Main report Tables 3-11 Types of activity.xlsx,
Academic Year 2019-20,children,female,years 1-11,participation_last_week,43717,655900,18.48,ALS CYP 19-20 Main report Tables 3-11 Types of activity.xlsx | ALS CYP 20-21 Tables 5-13 Types of activity.xlsx,
Academic Year 2019-20,children,male,years 1-11,participation_last_week,39245,1859100,50.61,ALS CYP 19-20 Main report Tables 3-11 Types of activity.xlsx | ALS CYP 20-21 Tables 5-13 Types of activity.xlsx,
Academic Year 2020-21,children,female,years 1-11,participation_last_week,41163,707200,20.1,ALS CYP 20-21 Tables 5-13 Types of activity.xlsx | ALS CYP 21-22 Tables 5-14 Types of activity.xlsx,COVID restrictions may have suppressed participation
Academic Year 2020-21,children,male,years 1-11,participation_last_week,38529,1685800,46.41,ALS CYP 20-21 Tables 5-13 Types of activity.xlsx | ALS CYP 21-22 Tables 5-14 Types of activity.xlsx,COVID restrictions may have suppressed participation
Academic Year 2021-22,children,female,years 1-11,participation_last_week,47613,777400,22.02,ALS CYP 21-22 Tables 5-14 Types of activity.xlsx | Active Lives CYP 22-23 Tables 5-14 Types of activity.xlsx,
Academic Year 2021-22,children,male,years 1-11,participation_last_week,46255,2012900,55.18,ALS CYP 21-22 Tables 5-14 Types of activity.xlsx | Active Lives CYP 22-23 Tables 5-14 Types of activity.xlsx,
Academic Year 2022-23,children,female,years 1-11,participation_last_week,55448,845400,23.54,Active Lives CYP 22-23 Tables 5-14 Types of activity.xlsx | Active Lives CYP 23-24 Tables 7-16 Types of activity.xlsx,
Academic Year 2022-23,children,male,years 1-11,participation_last_week,54527,2089000,57.09,Active Lives CYP 22-23 Tables 5-14 Types of activity.xlsx | Active Lives CYP 23-24 Tables 7-16 Types of activity.xlsx,
Academic Year 2023-24,children,female,years 1-11,participation_last_week,56458,837084,23.3,Active Lives CYP 23-24 Tables 7-16 Types of activity.xlsx,
Academic Year 2023-24,children,male,years 1-11,participation_last_week,54042,2110615,56.85,Active Lives CYP 23-24 Tables 7-16 Types of activity.xlsx,
Academic Year 2019-20,children,total,school years 1-2,participation_last_week,3081,373600,26.51,ALS CYP 19-20 Main report Tables 3-11 Types of activity.xlsx,
