country,season,gender,age_group,registered_players,metric_name,source_report,source_file,source_page,quality_flag,notes
Italy,2013-14,female,dilettantistica,13983,tesserati,ReportCalcio 2015,Report_Calcio_2015_ITA_BASSA.pdf,38,confirmed,Different sub-category layout vs later reports; dilettantistica = calcio a 11 + calcio a 5 + attività mista
Italy,2013-14,male,dilettantistica,379735,tesserati,ReportCalcio 2015,Report_Calcio_2015_ITA_BASSA.pdf,38,confirmed,Different sub-category layout vs later reports; dilettantistica = calcio a 11 + calcio a 5 + attività mista
Italy,2013-14,total,dilettantistica,393718,tesserati,ReportCalcio 2015,Report_Calcio_2015_ITA_BASSA.pdf,38,confirmed,Different sub-category layout vs later reports; dilettantistica = calcio a 11 + calcio a 5 + attività mista
Italy,2013-14,female,professionistica,0,tesserati,ReportCalcio 2015,Report_Calcio_2015_ITA_BASSA.pdf,38,confirmed,Different sub-category layout vs later reports; dilettantistica = calcio a 11 + calcio a 5 + attività mista
Italy,2013-14,male,professionistica,13062,tesserati,ReportCalcio 2015,Report_Calcio_2015_ITA_BASSA.pdf,38,confirmed,Different sub-category layout vs later reports; dilettantistica = calcio a 11 + calcio a 5 + attività mista
Italy,2013-14,total,professionistica,13062,tesserati,ReportCalcio 2015,Report_Calcio_2015_ITA_BASSA.pdf,38,confirmed,Different sub-category layout vs later reports; dilettantistica = calcio a 11 + calcio a 5 + attività mista
Italy,2013-14,female,sgs,7634,tesserati,ReportCalcio 2015,Report_Calcio_2015_ITA_BASSA.pdf,38,confirmed,Different sub-category layout vs later reports; dilettantistica = calcio a 11 + calcio a 5 + attività mista
Italy,2013-14,male,sgs,658872,tesserati,ReportCalcio 2015,Report_Calcio_2015_ITA_BASSA.pdf,38,confirmed,Different sub-category layout vs later reports; dilettantistica = calcio a 11 + calcio a 5 + attività mista
Italy,2013-14,total,sgs,666506,tesserati,ReportCalcio 2015,Report_Calcio_2015_ITA_BASSA.pdf,38,confirmed,Different sub-category layout vs later reports; dilettantistica = calcio a 11 + calcio a 5 + attività mista
Italy,2013-14,female,total,21617,tesserati,ReportCalcio 2015,Report_Calcio_2015_ITA_BASSA.pdf,38,confirmed,Different sub-category layout vs later reports; dilettantistica = calcio a 11 + calcio a 5 + attività mista
Italy,2013-14,male,total,1051669,tesserati,ReportCalcio 2015,Report_Calcio_2015_ITA_BASSA.pdf,38,confirmed,Different sub-category layout vs later reports; dilettantistica = calcio a 11 + calcio a 5 + attività mista
Italy,2013-14,total,total,1073286,tesserati,ReportCalcio 2015,Report_Calcio_2015_ITA_BASSA.pdf,38,confirmed,Different sub-category layout vs later reports; dilettantistica = calcio a 11 + calcio a 5 + attività mista
Italy,2014-15,female,dilettantistica,14010,tesserati,ReportCalcio 2016,Report_Calcio_2016_ITA_BASSA.pdf,35,confirmed,
Italy,2014-15,male,dilettantistica,374944,tesserati,ReportCalcio 2016,Report_Calcio_2016_ITA_BASSA.pdf,35,confirmed,
Italy,2014-15,total,dilettantistica,388954,tesserati,ReportCalcio 2016,Report_Calcio_2016_ITA_BASSA.pdf,35,confirmed,
Italy,2014-15,female,professionistica,0,tesserati,ReportCalcio 2016,Report_Calcio_2016_ITA_BASSA.pdf,35,confirmed,
Italy,2014-15,male,professionistica,12211,tesserati,ReportCalcio 2016,Report_Calcio_2016_ITA_BASSA.pdf,35,confirmed,
Italy,2014-15,total,professionistica,12211,tesserati,ReportCalcio 2016,Report_Calcio_2016_ITA_BASSA.pdf,35,confirmed,
Italy,2014-15,female,sgs,8311,tesserati,ReportCalcio 2016,Report_Calcio_2016_ITA_BASSA.pdf,35,confirmed,
Italy,2014-15,male,sgs,689979,tesserati,ReportCalcio 2016,Report_Calcio_2016_ITA_BASSA.pdf,35,confirmed,
Italy,2014-15,total,sgs,698290,tesserati,ReportCalcio 2016,Report_Calcio_2016_ITA_BASSA.pdf,35,confirmed,
Italy,2014-15,female,total,22321,tesserati,ReportCalcio 2016,Report_Calcio_2016_ITA_BASSA.pdf,35,confirmed,
Italy,2014-15,male,total,1077134,tesserati,ReportCalcio 2016,Report_Calcio_2016_ITA_BASSA.pdf,35,confirmed,
Italy,2014-15,total,total,1099455,tesserati,ReportCalcio 2016,Report_Calcio_2016_ITA_BASSA.pdf,35,confirmed,
Italy,2015-16,female,dilettantistica,14051,tesserati,ReportCalcio 2017,Report_Calcio_2017_ITA_BASSA.pdf,31,confirmed,
Italy,2015-16,male,dilettantistica,363102,tesserati,ReportCalcio 2017,Report_Calcio_2017_ITA_BASSA.pdf,31,confirmed,
Italy,2015-16,total,dilettantistica,377153,tesserati,ReportCalcio 2017,Report_Calcio_2017_ITA_BASSA.pdf,31,confirmed,
Italy,2015-16,female,professionistica,0,tesserati,ReportCalcio 2017,Report_Calcio_2017_ITA_BASSA.pdf,31,confirmed,
