country,season,sport,gender,registered_players,metric_name,source_name,source_url,source_file,quality_flag,notes
Spain,2013-14,football,female,31314,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,
Spain,2013-14,football,male,682813,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,
Spain,2013-14,football,total,714127,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,
Spain,2013-14,futsal,female,9571,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,
Spain,2013-14,futsal,male,86531,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,
Spain,2013-14,futsal,total,96014,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,
Spain,2014-15,football,female,29904,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,
Spain,2014-15,football,male,700526,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,
Spain,2014-15,football,total,730430,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,
Spain,2014-15,futsal,female,9821,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,
Spain,2014-15,futsal,male,89821,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,
Spain,2014-15,futsal,total,99524,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,
Spain,2015-16,football,female,31831,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2015-2016.pdf,confirmed,
Spain,2015-16,football,male,720376,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2015-2016.pdf,confirmed,
Spain,2015-16,football,total,752207,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2015-2016.pdf,confirmed,
Spain,2015-16,futsal,female,9816,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2015-2016.pdf,confirmed,
Spain,2015-16,futsal,male,89011,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2015-2016.pdf,confirmed,
Spain,2015-16,futsal,total,98827,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2015-2016.pdf,confirmed,
Spain,2016-17,football,female,40354,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2016-2017.pdf,confirmed,
Spain,2016-17,football,male,765818,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2016-2017.pdf,confirmed,
Spain,2016-17,football,total,806172,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2016-2017.pdf,confirmed,
Spain,2016-17,futsal,female,13865,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2016-2017.pdf,confirmed,
Spain,2016-17,futsal,male,103768,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2016-2017.pdf,confirmed,
Spain,2016-17,futsal,total,117633,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2016-2017.pdf,confirmed,
Spain,2017-18,football,female,42543,licencias,RFEF Memoria,,licencias_memoriatem.-2017-2018.pdf,confirmed,
Spain,2017-18,football,male,781321,licencias,RFEF Memoria,,licencias_memoriatem.-2017-2018.pdf,confirmed,
Spain,2017-18,football,total,823864,licencias,RFEF Memoria,,licencias_memoriatem.-2017-2018.pdf,confirmed,
Spain,2017-18,futsal,female,15829,licencias,RFEF Memoria,,licencias_memoriatem.-2017-2018.pdf,confirmed,
Spain,2017-18,futsal,male,110690,licencias,RFEF Memoria,,licencias_memoriatem.-2017-2018.pdf,confirmed,
