country,season,sport,gender,age_group,registered_players,metric_name,source_name,source_url,source_file,quality_flag,age_label,notes
Spain,2013-14,football,female,aficionado,11360,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,aficionado,
Spain,2013-14,football,female,alevin,2572,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,alevin,
Spain,2013-14,football,female,benjamin,1407,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,benjamin,
Spain,2013-14,football,female,cadete,4408,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,cadete,
Spain,2013-14,football,female,debutante,1507,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,debutante,
Spain,2013-14,football,female,infantil,3477,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,infantil,
Spain,2013-14,football,female,juvenil,5604,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,juvenil,
Spain,2013-14,football,female,prebenjamin,951,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,prebenjamin,
Spain,2013-14,football,female,profesional,28,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,profesional,
Spain,2013-14,football,male,aficionado,124080,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,aficionado,
Spain,2013-14,football,male,alevin,114073,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,alevin,
Spain,2013-14,football,male,benjamin,87821,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,benjamin,
Spain,2013-14,football,male,cadete,94988,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,cadete,
Spain,2013-14,football,male,debutante,4220,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,debutante,
Spain,2013-14,football,male,infantil,104353,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,infantil,
Spain,2013-14,football,male,juvenil,97411,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,juvenil,
Spain,2013-14,football,male,prebenjamin,53364,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,prebenjamin,
Spain,2013-14,football,male,profesional,2503,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,profesional,
Spain,2013-14,futsal,female,aficionado,4196,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,aficionado,
Spain,2013-14,futsal,female,alevin,678,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,alevin,
Spain,2013-14,futsal,female,benjamin,218,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,benjamin,
Spain,2013-14,futsal,female,cadete,1661,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,cadete,
Spain,2013-14,futsal,female,debutante,20,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,debutante,
Spain,2013-14,futsal,female,infantil,1291,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,infantil,
Spain,2013-14,futsal,female,juvenil,1387,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,juvenil,
Spain,2013-14,futsal,female,prebenjamin,117,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,prebenjamin,
Spain,2013-14,futsal,female,profesional,3,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,profesional,
Spain,2013-14,futsal,male,aficionado,21906,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,aficionado,
Spain,2013-14,futsal,male,alevin,11966,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,alevin,
Spain,2013-14,futsal,male,benjamin,12091,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,benjamin,
Spain,2013-14,futsal,male,cadete,10674,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,cadete,
Spain,2013-14,futsal,male,debutante,128,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,debutante,
Spain,2013-14,futsal,male,infantil,10308,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,infantil,
Spain,2013-14,futsal,male,juvenil,9898,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,juvenil,
Spain,2013-14,futsal,male,prebenjamin,9403,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,prebenjamin,
Spain,2013-14,futsal,male,profesional,157,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2013-2014.pdf,confirmed,profesional,
Spain,2014-15,football,female,aficionado,10871,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,aficionado,
Spain,2014-15,football,female,alevin,2594,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,alevin,
Spain,2014-15,football,female,benjamin,1611,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,benjamin,
Spain,2014-15,football,female,cadete,4907,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,cadete,
Spain,2014-15,football,female,debutante,37,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,debutante,
Spain,2014-15,football,female,infantil,3676,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,infantil,
