country_code,country_name,indicator_code,indicator_name,year,value
ARG,Argentina,NY.GDP.MKTP.CD,gdp_usd,2023,649461687959.174
ARG,Argentina,NY.GDP.MKTP.CD,gdp_usd,2022,633993756301.08
ARG,Argentina,NY.GDP.MKTP.CD,gdp_usd,2021,486564085480.036
ARG,Argentina,NY.GDP.MKTP.CD,gdp_usd,2020,385740508436.965
ARG,Argentina,NY.GDP.MKTP.CD,gdp_usd,2019,447754683615.225
ARG,Argentina,NY.GDP.MKTP.CD,gdp_usd,2018,524819892360.176
ARG,Argentina,NY.GDP.MKTP.CD,gdp_usd,2017,643628393281.364
ARG,Argentina,NY.GDP.MKTP.CD,gdp_usd,2016,557532320662.955
ARG,Argentina,NY.GDP.MKTP.CD,gdp_usd,2015,594749285413.212
ARG,Argentina,NY.GDP.MKTP.CD,gdp_usd,2014,526319673731.638
ARG,Argentina,NY.GDP.MKTP.CD,gdp_usd,2013,552025140252.246
ARG,Argentina,NY.GDP.MKTP.CD,gdp_usd,2012,545982375701.128
BEL,Belgium,NY.GDP.MKTP.CD,gdp_usd,2023,651330595110.011
BEL,Belgium,NY.GDP.MKTP.CD,gdp_usd,2022,591085783326.267
BEL,Belgium,NY.GDP.MKTP.CD,gdp_usd,2021,598522422241.851
BEL,Belgium,NY.GDP.MKTP.CD,gdp_usd,2020,529694473501.791
BEL,Belgium,NY.GDP.MKTP.CD,gdp_usd,2019,536726344405.489
BEL,Belgium,NY.GDP.MKTP.CD,gdp_usd,2018,542638913427.921
BEL,Belgium,NY.GDP.MKTP.CD,gdp_usd,2017,500908767351.53
BEL,Belgium,NY.GDP.MKTP.CD,gdp_usd,2016,474271566739.729
BEL,Belgium,NY.GDP.MKTP.CD,gdp_usd,2015,461044767544.531
BEL,Belgium,NY.GDP.MKTP.CD,gdp_usd,2014,537987419164.351
BEL,Belgium,NY.GDP.MKTP.CD,gdp_usd,2013,524097026598.55
BEL,Belgium,NY.GDP.MKTP.CD,gdp_usd,2012,498414364944.961
BRA,Brazil,NY.GDP.MKTP.CD,gdp_usd,2023,2191131869706.02
BRA,Brazil,NY.GDP.MKTP.CD,gdp_usd,2022,1951923832083.87
BRA,Brazil,NY.GDP.MKTP.CD,gdp_usd,2021,1670647464062.96
